"Date","Match","Venue (city, stadium)","Opponent","Score","Manager","Notes"
"2013-09-06","World Cup 2014 qualifier","Dublin, Lansdowne Road","Sweden","1-2","Trapattoni","Crowd: 49,500."
"2013-09-10","World Cup 2014 qualifier","Vienna, Ernst-Happel-Stadion","Austria","0-1","Trapattoni","Crowd: 48,545."
"2013-10-11","World Cup 2014 qualifier","Cologne, RheinEnergieStadion","Germany","0-3","King","500th official match.[77] Manager: Noel King. Crowd: 46,237."
"2013-10-15","World Cup 2014 qualifier","Dublin, Lansdowne Road","Kazakhstan","3-1","King","Crowd: 15,000."
"2013-11-15","Friendly","Dublin, Lansdowne Road","Latvia","3-0","O'Neill","New manager: Martin O'Neill.[80] Crowd: 37,100."
"2013-11-19","Friendly","Poznań, Stadion Miejski","Poland","0-0","O'Neill","Crowd: 3,500."
"2014-03-05","Friendly","Dublin, Lansdowne Road","Serbia","1-2","O'Neill","Crowd: 37,595."
"2014-05-25","Friendly","Dublin, Lansdowne Road","Turkey","1-2","O'Neill","Crowd: 25,191."
"2014-05-31","Friendly","Fulham, Craven Cottage","Italy","0-0","O'Neill","Crowd: 22,879."
"2014-06-06","Friendly","Chester, PA, PPL Park","Costa Rica","1-1","O'Neill","Crowd: 6,000.[87] Giancarlo González sent off at 41 minutes after injuring Kevin Doyle."
"2014-06-10","Friendly","East Rutherford NJ, MetLife Stadium","Portugal","1-5","O'Neill","Crowd: 46,063.[89] Portugal Day, the national day in Portugal."
"2014-09-03","Friendly","Dublin, Lansdowne Road","Oman","2-0","O'Neill","Crowd: 14,376."
"2014-09-07","Euro 2016 qualifier","Tbilisi, Boris Paichadze Dinamo Arena","Georgia","2-1","O'Neill","Brace by Aiden McGeady."
"2014-10-11","Euro 2016 qualifier","Dublin, Lansdowne Road","Gibraltar","7-0","O'Neill","First match against Gibraltar. Hat trick by Robbie Keane; brace by James McClean."
"2014-10-14","Euro 2016 qualifier","Gelsenkirchen, Veltins-Arena","Germany","1-1","O'Neill","Ireland equalized in the last minute of extra time."
"2014-11-14","Euro 2016 qualifier","Glasgow, Celtic Park","Scotland","0-1","O'Neill",""
"2014-11-18","Friendly","Dublin, Lansdowne Road","United States","4-1","O'Neill",""
"2015-03-29","Euro 2016 qualifier","Dublin, Lansdowne Road","Poland","1-1","O'Neill","Crowd: 50,000."
"2015-06-04","Training match","Dublin, Lansdowne Road","Northern Ireland","0-0","O'Neill","Crowd: 50. Training match behind closed doors."
"2015-06-07","Friendly","Dublin, Lansdowne Road","England","0-0","O'Neill","First home match against England since the Lansdowne Road football riot 20 years before."
"2015-06-13","Euro 2016 qualifier","Dublin, Lansdowne Road","Scotland","1-1","O'Neill",""
"2015-09-04","Euro 2016 qualifier","Faro, Estádio Algarve","Gibraltar","4-0","O'Neill",""
"2015-09-07","Euro 2016 qualifier","Dublin, Lansdowne Road","Georgia","1-0","O'Neill","Crowd: 27,000."
"2015-10-08","Euro 2016 qualifier","Dublin, Lansdowne Road","Germany","1-0","O'Neill","Crowd: 50,064."
"2015-10-11","Euro 2016 qualifier","Warsaw, National Stadium","Poland","1-2","O'Neill",""
"2015-11-13","Euro 2016 play-off","Zenica, Bilino Polje Stadium","Bosnia and Herzegovina","1-1","O'Neill",""
"2015-11-16","Euro 2016 play-off","Dublin, Lansdowne Road","Bosnia and Herzegovina","2-0","O'Neill","Brace by Jonathan Walters."
